"Year","County","Ag.District","CATTLE..COWS..BEEF...INVENTORY","CATTLE..COWS..MILK...INVENTORY","Turkeys","CPI","CORN..GRAIN...YIELD..MEASURED.IN.BU...ACRE","CORN..SILAGE...YIELD..MEASURED.IN.TONS...ACRE","SOYBEANS...YIELD..MEASURED.IN.BU...ACRE","SUGARBEETS...YIELD..MEASURED.IN.TONS...ACRE","Urea..46.0.0.","Potash..0.0.60.","Monammonium.Phosphate..MAP...11.52.0.","Diammonium.Phosphate..DAP...18.46.0.","Ammonia..82.0.0.","Estimated.Value.Per.Acre","Hogs","Feed_cows","Dairy_cows_total_poop_lb","Dairy_cows_total_N","Dairy_cows_total_P","Dairy_cows_total_K","Beef_cows_total_poop_lb","Beef_cows_total_N","Beef_cows_total_P","Beef_cows_total_K","feed_cows_total_poop_lb","feed_cows_total_N","feed_cows_total_P","feed_cows_total_K","Hogs_total_poop_lb","Hogs_total_N","Hogs_total_P","Hogs_total_K"
2010,"stearns","CENTRAL",12500,70000,NA,62,164.9,19.5,45.8,29.8,6847,8101,635,2898,4814,3131,109402,40914,3.906e+09,25452000,13104000,14364000,2.43e+08,1800000,1800000,1800000,795368160,5891616,5891616,5891616,582893856,6695402.4,236308.32,3544624.8
2010,"todd","CENTRAL",11100,16700,NA,54,142.7,15,39.5,NA,3583,2828,28,471,133,1597,13771,4678,931860000,6072120,3126240,3426840,215784000,1598400,1598400,1598400,90940320,673632,673632,673632,73371888,842785.2,29745.36,446180.4
2010,"wadena","CENTRAL",4400,4500,NA,38,136.1,13.5,41.1,NA,3948,3534,8,832,986,1407,6202,186,251100000,1636200,842400,923400,85536000,633600,633600,633600,3615840,26784,26784,26784,33044256,379562.4,13396.32,200944.8
2010,"wright","CENTRAL",3900,10600,NA,66,162.9,NA,47.2,NA,3138,3358,70,472,1365,5727,4819,9373,591480000,3854160,1984320,2175120,75816000,561600,561600,561600,182211120,1349712,1349712,1349712,25675632,294922.8,10409.04,156135.6
2010,"aitkin","EAST CENTRAL",5100,400,NA,37,140,14.5,39.6,NA,896,827,135,0,0,1030,48,52,22320000,145440,74880,82080,99144000,734400,734400,734400,1010880,7488,7488,7488,255744,2937.6,103.68,1555.2
2010,"anoka","EAST CENTRAL",700,200,NA,32,138.7,NA,40.7,NA,51,36,86,13,45,9292,170,273,11160000,72720,37440,41040,13608000,100800,100800,100800,5307120,39312,39312,39312,905760,10404,367.2,5508
2010,"carlton","EAST CENTRAL",3600,1300,NA,40,107.1,NA,NA,NA,416,483,0,135,0,1387,118,119,72540000,472680,243360,266760,69984000,518400,518400,518400,2313360,17136,17136,17136,628704,7221.6,254.88,3823.2
2010,"chisago","EAST CENTRAL",2500,2200,NA,48,152.7,21.5,43.1,NA,4229,4061,1,1641,647,3621,563,458,122760000,799920,411840,451440,48600000,360000,360000,360000,8903520,65952,65952,65952,2999664,34455.6,1216.08,18241.2
2010,"crow wing","EAST CENTRAL",5500,700,NA,36,134.7,13.5,32.3,NA,4,72,0,0,0,2268,267,2421.25,39060000,254520,131040,143640,106920000,792000,792000,792000,47069100,348660,348660,348660,1422576,16340.4,576.72,8650.8
2010,"hennepin","EAST CENTRAL",1100,1300,NA,47,160.8,17,46.5,NA,2656,86,13,1,87,27067,86,3201,72540000,472680,243360,266760,21384000,158400,158400,158400,62227440,460944,460944,460944,458208,5263.2,185.76,2786.4
2010,"isanti","EAST CENTRAL",2000,1200,NA,42,137.6,18,37.2,NA,1776,1987,61,817,65,4292,2771,1132,66960000,436320,224640,246240,38880000,288000,288000,288000,22006080,163008,163008,163008,14763888,169585.2,5985.36,89780.4
2010,"kanabec","EAST CENTRAL",5900,1700,NA,58,149.6,17.5,42.3,NA,1854,1700,14,870,136,1547,160,599,94860000,618120,318240,348840,114696000,849600,849600,849600,11644560,86256,86256,86256,852480,9792,345.6,5184
2010,"mille lacs","EAST CENTRAL",3800,3700,NA,53,159.4,18.5,42.5,NA,1797,1522,25,531,680,1918,462,474,206460000,1345320,692640,759240,73872000,547200,547200,547200,9214560,68256,68256,68256,2461536,28274.4,997.92,14968.8
2010,"pine","EAST CENTRAL",9200,5200,NA,42,140.5,18,42.3,NA,568,702,0,185,0,1661,265,1719,290160000,1890720,973440,1067040,178848000,1324800,1324800,1324800,33417360,247536,247536,247536,1411920,16218,572.4,8586
2010,"washington","EAST CENTRAL",1800,900,NA,48,162,18.5,47.8,NA,246,144,1,55,8,13603,184,457,50220000,327240,168480,184680,34992000,259200,259200,259200,8884080,65808,65808,65808,980352,11260.8,397.44,5961.6
2010,"becker","NORTHWEST",6600,7000,NA,53,132.3,16.5,33.7,26.4,7034,2141,3735,64,85,1455,18705,2531,390600000,2545200,1310400,1436400,128304000,950400,950400,950400,49202640,364464,364464,364464,99660240,1144746,40402.8,606042
2010,"clay","NORTHWEST",4700,1800,NA,76,147,NA,36,28,38243,8813,12209,0,1912,2053,32825,1219,100440000,654480,336960,369360,91368000,676800,676800,676800,23697360,175536,175536,175536,174891600,2008890,70902,1063530
2010,"clearwater","NORTHWEST",8700,1000,NA,47,95.8,13.5,30.1,NA,81,284,21,0,0,827,538,959.8,55800000,363600,187200,205200,169128000,1252800,1252800,1252800,18658512,138211.2,138211.2,138211.2,2866464,32925.6,1162.08,17431.2
2010,"kittson","NORTHWEST",NA,NA,NA,60,NA,14.5,34.1,21.8,15602,1406,5001,90,1588,1099,6635.5,640,NA,NA,NA,NA,NA,NA,NA,NA,12441600,92160,92160,92160,35353944,406092.6,14332.68,214990.2
2010,"mahnomen","NORTHWEST",2200,800,NA,69,139,NA,32.9,27.3,3632,1348,1246,0,125,1443,243,1326,44640000,290880,149760,164160,42768000,316800,316800,316800,25777440,190944,190944,190944,1294704,14871.6,524.88,7873.2
2010,"marshall","NORTHWEST",4900,1900,NA,70,129.9,NA,31.7,23.5,35784,8299,15936,356,11597,1048,62,265,106020000,690840,355680,389880,95256000,705600,705600,705600,5151600,38160,38160,38160,330336,3794.4,133.92,2008.8
2010,"norman","NORTHWEST",2300,1700,NA,79,141.7,NA,33.9,28.9,20022,4663,10426,0,2152,1802,7070,755,94860000,618120,318240,348840,44712000,331200,331200,331200,14677200,108720,108720,108720,37668960,432684,15271.2,229068
2010,"pennington","NORTHWEST",3500,300,NA,72,100,NA,29.4,NA,4872,3964,3883,578,2780,852,654.5,146,16740000,109080,56160,61560,68040000,504000,504000,504000,2838240,21024,21024,21024,3487176,40055.4,1413.72,21205.8
2010,"polk","NORTHWEST",8100,1900,NA,77,143.1,8.6,34.4,26.8,22667,6512,14185,237,10515,1654,17637,507,106020000,690840,355680,389880,157464000,1166400,1166400,1166400,9856080,73008,73008,73008,93969936,1079384.4,38095.92,571438.8
2010,"red lake","NORTHWEST",3400,1100,NA,73,130.5,18.5,32.5,NA,4150,2882,2420,245,1197,889,1862,1310,61380000,399960,205920,225720,66096000,489600,489600,489600,25466400,188640,188640,188640,9920736,113954.4,4021.92,60328.8
2010,"roseau","NORTHWEST",7600,1500,NA,52,NA,13,29.7,NA,12250,7514,7013,1,3945,589,8529,667,83700000,545400,280800,307800,147744000,1094400,1094400,1094400,12966480,96048,96048,96048,45442512,521974.8,18422.64,276339.6
2010,"blue earth","SOUTH CENTRAL",1200,1000,NA,80,174.1,NA,48.1,NA,2859,5137,4175,603,7949,4379,554230,4014,55800000,363600,187200,205200,23328000,172800,172800,172800,78032160,578016,578016,578016,2952937440,33918876,1197136.8,17957052
2010,"brown","SOUTH CENTRAL",3600,5600,NA,82,186.2,20,51.3,NA,20031,17087,27,22549,9829,4222,218163,20570,312480000,2036160,1048320,1149120,69984000,518400,518400,518400,399880800,2962080,2962080,2962080,1162372464,13351575.6,471232.08,7068481.2
2010,"faribault","SOUTH CENTRAL",1400,2200,NA,87,178.8,NA,50.3,NA,3218,18230,8546,2899,14836,4248,249759,4584,122760000,799920,411840,451440,27216000,201600,201600,201600,89112960,660096,660096,660096,1330715952,15285250.8,539479.44,8092191.6
2010,"freeborn","SOUTH CENTRAL",3200,1400,NA,84,183.1,NA,49.1,NA,2168,17165,3891,2491,8812,4308,324837,8837,78120000,509040,262080,287280,62208000,460800,460800,460800,171791280,1272528,1272528,1272528,1730731536,19880024.4,701647.92,10524718.8
2010,"le sueur","SOUTH CENTRAL",2300,4000,NA,78,182.7,NA,49.5,NA,4430,10912,6625,1121,8675,4843,135687,8273,223200000,1454400,748800,820800,44712000,331200,331200,331200,160827120,1191312,1191312,1191312,722940336,8304044.4,293083.92,4396258.8
2010,"martin","SOUTH CENTRAL",1500,900,NA,87,188,NA,49.1,NA,1317,11012,8736,125,18466,4656,812229,6093,50220000,327240,168480,184680,29160000,216000,216000,216000,118447920,877392,877392,877392,4327556112,49708414.8,1754414.64,26316219.6
2010,"nicollet","SOUTH CENTRAL",700,7100,NA,81,176.7,NA,51,NA,1733,1822,1191,930,7076,4491,268330,6218,396180000,2581560,1329120,1456920,13608000,100800,100800,100800,120877920,895392,895392,895392,1429662240,16421796,579592.8,8693892
2010,"rice","SOUTH CENTRAL",3300,6400,NA,73,191,NA,53.8,NA,4763,8004,2879,1402,5226,5277,62285,1705,357120000,2327040,1198080,1313280,64152000,475200,475200,475200,33145200,245520,245520,245520,331854480,3811842,134535.6,2018034
2010,"steele","SOUTH CENTRAL",1700,5000,NA,84,186.5,NA,51.6,NA,2547,7457,2290,1505,4436,3933,167773,678,2.79e+08,1818000,936000,1026000,33048000,244800,244800,244800,13180320,97632,97632,97632,893894544,10267707.6,362389.68,5435845.2
2010,"waseca","SOUTH CENTRAL",1400,1900,NA,83,186,NA,51.2,NA,2300,5465,4082,203,8297,4351,243998,5523,106020000,690840,355680,389880,27216000,201600,201600,201600,107367120,795312,795312,795312,1300021344,14932677.6,527035.68,7905535.2
2010,"watonwan","SOUTH CENTRAL",900,400,NA,83,183.1,21,48.3,NA,2252,10533,6332,4,7620,4142,183618,3779,22320000,145440,74880,82080,17496000,129600,129600,129600,73463760,544176,544176,544176,978316704,11237421.6,396614.88,5949223.2
2010,"dakota","SOUTHEAST",2100,4300,NA,57,189.3,NA,50.9,NA,7489,9616,914,4313,8579,6233,32683,10614,239940000,1563480,804960,882360,40824000,302400,302400,302400,206336160,1528416,1528416,1528416,174135024,2000199.6,70595.28,1058929.2
2010,"dodge","SOUTHEAST",1900,7100,NA,88,195.4,25,51.9,NA,2868,7658,4017,350,4087,4245,163874,3934,396180000,2581560,1329120,1456920,36936000,273600,273600,273600,76476960,566496,566496,566496,873120672,10029088.8,353967.84,5309517.6
2010,"fillmore","SOUTHEAST",16600,11100,NA,68,187.6,24,54,NA,8556,10515,1991,2960,4327,3466,136778,11749,619380000,4035960,2077920,2277720,322704000,2390400,2390400,2390400,228400560,1691856,1691856,1691856,728753184,8370813.6,295440.48,4431607.2
2010,"goodhue","SOUTHEAST",6100,19800,NA,70,193.8,24,52.9,NA,8009,23379,4143,4741,10057,4056,143804,11695,1104840000,7199280,3706560,4062960,118584000,878400,878400,878400,227350800,1684080,1684080,1684080,766187712,8800804.8,310616.64,4659249.6
2010,"houston","SOUTHEAST",9600,9900,NA,45,180.3,NA,51.9,NA,3764,2568,5,1058,770,2684,22428,5126,552420000,3599640,1853280,2031480,186624000,1382400,1382400,1382400,99649440,738144,738144,738144,119496384,1372593.6,48444.48,726667.2
2010,"mower","SOUTHEAST",3200,5000,NA,84,194.1,22.5,50.9,NA,980,8829,2785,1981,5979,4143,330950,9512,2.79e+08,1818000,936000,1026000,62208000,460800,460800,460800,184913280,1369728,1369728,1369728,1763301600,20254140,714852,10722780
2010,"olmsted","SOUTHEAST",9300,8600,NA,71,192.8,21,54,NA,6690,8597,1063,2971,2411,4150,45300,9052,479880000,3126960,1609920,1764720,180792000,1339200,1339200,1339200,175970880,1303488,1303488,1303488,241358400,2772360,97848,1467720
2010,"wabasha","SOUTHEAST",7200,21000,NA,60,185.9,23.5,52.3,NA,1948,4852,1394,438,2471,3361,8851,6849,1171800000,7635600,3931200,4309200,139968000,1036800,1036800,1036800,133144560,986256,986256,986256,47158128,541681.2,19118.16,286772.4
2010,"winona","SOUTHEAST",8900,30000,NA,49,185.2,24.5,56.1,NA,5802,7377,294,1539,2018,3452,36935,7881,1.674e+09,10908000,5616000,6156000,173016000,1281600,1281600,1281600,153206640,1134864,1134864,1134864,196789680,2260422,79779.6,1196694
2010,"cottonwood","SOUTHWEST",2700,1200,NA,87,180.4,NA,46.5,NA,4320,4950,26,7510,4806,3838,235636,15004,66960000,436320,224640,246240,52488000,388800,388800,388800,291677760,2160576,2160576,2160576,1255468608,14420923.2,508973.76,7634606.4
2010,"jackson","SOUTHWEST",2500,500,NA,87,185.7,NA,48.7,NA,2213,7097,385,7630,5806,4341,245947,6247,27900000,181800,93600,102600,48600000,360000,360000,360000,121441680,899568,899568,899568,1310405616,15051956.4,531245.52,7968682.8
2010,"lincoln","SOUTHWEST",5400,2900,NA,84,161.9,19,44.8,NA,5316,2097,35,3307,210,2891,93371,7171,161820000,1054440,542880,595080,104976000,777600,777600,777600,139404240,1032624,1032624,1032624,497480688,5714305.2,201681.36,3025220.4
2010,"lyon","SOUTHWEST",4800,1800,NA,84,168.6,NA,48.2,NA,18309,7696,3579,9533,4028,3717,158742,32155,100440000,654480,336960,369360,93312000,691200,691200,691200,625093200,4630320,4630320,4630320,845777376,9715010.4,342882.72,5143240.8
2010,"murray","SOUTHWEST",6000,4600,NA,86,186.3,NA,50.3,NA,16752,8314,1890,8382,5818,3576,140599,20163,256680000,1672560,861120,943920,116640000,864000,864000,864000,391968720,2903472,2903472,2903472,749111472,8604658.8,303693.84,4555407.6
2010,"nobles","SOUTHWEST",3700,5200,NA,90,179.8,NA,50.8,NA,8209,7351,27413,4497,12529,3966,323679,38434,290160000,1890720,973440,1067040,71928000,532800,532800,532800,747156960,5534496,5534496,5534496,1724561712,19809154.8,699146.64,10487199.6
2010,"pipestone","SOUTHWEST",8000,4700,NA,83,172.4,NA,48.8,NA,17170,7350,1028,8198,535,3490,267097,18215,262260000,1708920,879840,964440,155520000,1152000,1152000,1152000,354099600,2622960,2622960,2622960,1423092816,16346336.4,576929.52,8653942.8
2010,"redwood","SOUTHWEST",4700,1900,NA,85,184,NA,51.3,27.2,2907,2327,0,4489,3895,4089,179776,15606,106020000,690840,355680,389880,91368000,676800,676800,676800,303380640,2247264,2247264,2247264,957846528,11002291.2,388316.16,5824742.4
2010,"rock","SOUTHWEST",6800,3100,NA,85,189.2,NA,54.3,NA,6271,3472,1275,4315,1630,4657,291435,36821,172980000,1127160,580320,636120,132192000,979200,979200,979200,715800240,5302224,5302224,5302224,1552765680,17835822,629499.6,9442494
2010,"big stone","WEST CENTRAL",1600,800,NA,78,162.8,16,41.1,NA,7195,2055,793,3888,1443,2705,41005,937,44640000,290880,149760,164160,31104000,230400,230400,230400,18215280,134928,134928,134928,218474640,2509506,88570.8,1328562
2010,"chippewa","WEST CENTRAL",NA,NA,NA,87,180.8,21.5,48.6,25.4,16504,4607,4055,7250,2993,3628,50200,3710,NA,NA,NA,NA,NA,NA,NA,NA,72122400,534240,534240,534240,267465600,3072240,108432,1626480
2010,"douglas","WEST CENTRAL",4200,5700,NA,67,160.2,NA,41,NA,3751,1859,291,2237,745,2119,1198,6851,318060000,2072520,1067040,1169640,81648000,604800,604800,604800,133183440,986544,986544,986544,6382944,73317.6,2587.68,38815.2
2010,"grant","WEST CENTRAL",NA,1500,NA,81,172.7,NA,41.2,27.5,21381,7404,1718,13204,3130,2799,23320,1478,83700000,545400,280800,307800,NA,NA,NA,NA,28732320,212832,212832,212832,124248960,1427184,50371.2,755568
2010,"lac qui parle","WEST CENTRAL",5300,1000,NA,82,172.9,NA,45.4,NA,14949,6680,2185,9114,1713,3075,97508,4507,55800000,363600,187200,205200,103032000,763200,763200,763200,87616080,649008,649008,649008,519522624,5967489.6,210617.28,3159259.2
2010,"otter tail","WEST CENTRAL",17200,22000,NA,56,158.3,17,39.5,27,11489,8784,112,4664,1058,1818,35547,8092,1227600000,7999200,4118400,4514400,334368000,2476800,2476800,2476800,157308480,1165248,1165248,1165248,189394416,2175476.4,76781.52,1151722.8
2010,"pope","WEST CENTRAL",4800,5300,NA,65,174.3,19,41.9,29.5,2726,3033,279,2122,2893,2447,76913,3674,295740000,1927080,992160,1087560,93312000,691200,691200,691200,71422560,529056,529056,529056,409792464,4707075.6,166132.08,2491981.2
2010,"stevens","WEST CENTRAL",2500,18300,NA,83,179.7,NA,44.8,32.4,12051,4056,1893,8014,5455,2840,186865,11844,1021140000,6653880,3425760,3755160,48600000,360000,360000,360000,230247360,1705536,1705536,1705536,995616720,11436138,403628.4,6054426
2010,"swift","WEST CENTRAL",2500,4600,NA,77,180.1,22,46.8,29.3,11474,8850,5571,7720,7095,3021,13116,3871,256680000,1672560,861120,943920,48600000,360000,360000,360000,75252240,557424,557424,557424,69882048,802699.2,28330.56,424958.4
2010,"traverse","WEST CENTRAL",NA,NA,NA,87,165.2,NA,40.2,28.1,9450,2029,2709,4154,801,2991,16966,1863,NA,NA,NA,NA,NA,NA,NA,NA,36216720,268272,268272,268272,90394848,1038319.2,36646.56,549698.4
2010,"wilkin","WEST CENTRAL",1000,200,NA,84,153.5,NA,36.7,27.3,20074,4052,3041,8811,1943,2672,48,238,11160000,72720,37440,41040,19440000,144000,144000,144000,4626720,34272,34272,34272,255744,2937.6,103.68,1555.2
2010,"yellow medicine","WEST CENTRAL",3400,2900,NA,84,173.8,NA,46.2,24.3,10487,5082,416,10529,4258,3639,120257,10879,161820000,1054440,542880,595080,66096000,489600,489600,489600,211487760,1566576,1566576,1566576,640729296,7359728.4,259755.12,3896326.8
2011,"benton","CENTRAL",4300,12900,NA,57,108.8,NA,33.7,NA,3454,4429,0,1132,792,2636,23865,4359,719820000,4690440,2414880,2647080,83592000,619200,619200,619200,84738960,627696,627696,627696,127152720,1460538,51548.4,773226
2011,"carver","CENTRAL",1400,9400,NA,78,154.2,20,36.8,NA,4085,3565,27,2336,1700,6385,29567,2941,524520000,3417840,1759680,1928880,27216000,201600,201600,201600,57173040,423504,423504,423504,157532976,1809500.4,63864.72,957970.8
2011,"kandiyohi","CENTRAL",2800,6700,NA,77,149.7,14.5,37.7,18.1,8606,5885,502,6537,5750,3762,86583,2493,373860000,2436120,1254240,1374840,54432000,403200,403200,403200,48463920,358992,358992,358992,461314224,5298879.6,187019.28,2805289.2
2011,"mcleod","CENTRAL",2000,7600,NA,83,146.1,19,35.4,16.9,5882,6401,475,5484,3919,4638,9308,6055,424080000,2763360,1422720,1559520,38880000,288000,288000,288000,117709200,871920,871920,871920,49593024,569649.6,20105.28,301579.2
2011,"meeker","CENTRAL",2900,7400,NA,72,143.6,19.5,34.7,12.7,10280,9349,4676,1850,5670,3581,14522,7035,412920000,2690640,1385280,1518480,56376000,417600,417600,417600,136760400,1013040,1013040,1013040,77373216,888746.4,31367.52,470512.8
2011,"morrison","CENTRAL",15000,25000,NA,49,141.5,NA,37.1,NA,5676,6006,2,1209,810,2581,77871,8466,1.395e+09,9090000,4680000,5130000,291600000,2160000,2160000,2160000,164579040,1219104,1219104,1219104,414896688,4765705.2,168201.36,2523020.4
2011,"renville","CENTRAL",1600,2900,NA,87,146.4,NA,37,17.2,17365,10165,324,12733,11309,4955,280943,16654,161820000,1054440,542880,595080,31104000,230400,230400,230400,323753760,2398176,2398176,2398176,1496864304,17193711.6,606836.88,9102553.2
2011,"scott","CENTRAL",1500,5100,NA,36,161.6,NA,37.7,NA,665,433,121,224,2179,7279,15487,5085,284580000,1854360,954720,1046520,29160000,216000,216000,216000,98852400,732240,732240,732240,82514736,947804.4,33451.92,501778.8
2011,"sherburne","CENTRAL",1200,500,NA,87,143.6,15,44.6,NA,1779,3116,2,608,1860,4356,8635,6280,27900000,181800,93600,102600,23328000,172800,172800,172800,122083200,904320,904320,904320,46007280,528462,18651.6,279774
2011,"sibley","CENTRAL",2500,7600,NA,22,157,NA,38.7,16.4,11582,9149,7885,1580,2928,4763,105238,9901,424080000,2763360,1422720,1559520,48600000,360000,360000,360000,192475440,1425744,1425744,1425744,560708064,6440565.6,227314.08,3409711.2
2011,"stearns","CENTRAL",11900,70000,NA,62,136.4,16.5,36.9,15.1,9453,8436,834,2468,3513,3121,109402,40914,3.906e+09,25452000,13104000,14364000,231336000,1713600,1713600,1713600,795368160,5891616,5891616,5891616,582893856,6695402.4,236308.32,3544624.8
2011,"todd","CENTRAL",10500,16700,NA,54,129.7,NA,35.2,NA,3735,3433,7,488,25,1521,13771,4678,931860000,6072120,3126240,3426840,204120000,1512000,1512000,1512000,90940320,673632,673632,673632,73371888,842785.2,29745.36,446180.4
2011,"wadena","CENTRAL",4100,4500,NA,38,125.4,NA,43.2,NA,4918,5329,91,1138,75,1483,6202,186,251100000,1636200,842400,923400,79704000,590400,590400,590400,3615840,26784,26784,26784,33044256,379562.4,13396.32,200944.8
2011,"wright","CENTRAL",3700,10600,NA,66,146.3,NA,35.2,NA,5831,6981,11,3258,2901,5140,4819,9373,591480000,3854160,1984320,2175120,71928000,532800,532800,532800,182211120,1349712,1349712,1349712,25675632,294922.8,10409.04,156135.6
2011,"aitkin","EAST CENTRAL",4800,400,NA,37,NA,11.5,30.8,NA,435,950,155,137,0,1076,48,52,22320000,145440,74880,82080,93312000,691200,691200,691200,1010880,7488,7488,7488,255744,2937.6,103.68,1555.2
2011,"anoka","EAST CENTRAL",700,200,NA,32,117.2,8.9,NA,NA,17,17,8,0,0,8708,170,273,11160000,72720,37440,41040,13608000,100800,100800,100800,5307120,39312,39312,39312,905760,10404,367.2,5508
2011,"chisago","EAST CENTRAL",2300,2200,NA,48,131.3,NA,34.6,NA,3914,4559,2,1483,294,2755,563,458,122760000,799920,411840,451440,44712000,331200,331200,331200,8903520,65952,65952,65952,2999664,34455.6,1216.08,18241.2
2011,"crow wing","EAST CENTRAL",5200,700,NA,36,107.6,12,NA,NA,175,125,0,65,0,2141,267,2421.25,39060000,254520,131040,143640,101088000,748800,748800,748800,47069100,348660,348660,348660,1422576,16340.4,576.72,8650.8
2011,"hennepin","EAST CENTRAL",1100,1300,NA,47,141.8,13,37.5,NA,1662,1682,0,0,0,24172,86,3201,72540000,472680,243360,266760,21384000,158400,158400,158400,62227440,460944,460944,460944,458208,5263.2,185.76,2786.4
2011,"isanti","EAST CENTRAL",1900,1200,NA,42,124.4,13.5,31.9,NA,2209,2594,0,724,0,3459,2771,1132,66960000,436320,224640,246240,36936000,273600,273600,273600,22006080,163008,163008,163008,14763888,169585.2,5985.36,89780.4
2011,"kanabec","EAST CENTRAL",5600,1700,NA,58,122.8,15,29.9,NA,1953,1863,2,819,0,1495,160,599,94860000,618120,318240,348840,108864000,806400,806400,806400,11644560,86256,86256,86256,852480,9792,345.6,5184
2011,"mille lacs","EAST CENTRAL",3600,3700,NA,53,99.1,12.5,30.2,NA,1789,1738,8,489,147,2118,462,474,206460000,1345320,692640,759240,69984000,518400,518400,518400,9214560,68256,68256,68256,2461536,28274.4,997.92,14968.8
2011,"pine","EAST CENTRAL",8700,5200,NA,42,130.8,17,36.9,NA,326,590,0,156,0,1562,265,1719,290160000,1890720,973440,1067040,169128000,1252800,1252800,1252800,33417360,247536,247536,247536,1411920,16218,572.4,8586
2011,"washington","EAST CENTRAL",1700,900,NA,48,176.7,20,43.7,NA,1471,2255,0,1120,1200,12256,184,457,50220000,327240,168480,184680,33048000,244800,244800,244800,8884080,65808,65808,65808,980352,11260.8,397.44,5961.6
2011,"becker","NORTHWEST",6300,7000,NA,53,121.5,18,33.3,20.4,7760,2414,3331,109,7,1975,18705,2531,390600000,2545200,1310400,1436400,122472000,907200,907200,907200,49202640,364464,364464,364464,99660240,1144746,40402.8,606042
2011,"clay","NORTHWEST",4500,1800,NA,76,113.6,NA,33.5,16.7,42234,9716,12910,0,2009,2388,32825,1219,100440000,654480,336960,369360,87480000,648000,648000,648000,23697360,175536,175536,175536,174891600,2008890,70902,1063530
2011,"clearwater","NORTHWEST",8300,1000,NA,47,104.2,13,29.9,NA,75,275,3,33,86,830,538,959.8,55800000,363600,187200,205200,161352000,1195200,1195200,1195200,18658512,138211.2,138211.2,138211.2,2866464,32925.6,1162.08,17431.2
